id,Dénomination,Bureau,Année,Type,Styles,Saison,Météo,Journée,Lumière,Composition,Affectations,Pays,Nom de fichier (avec extension)
0,3XN_ElizabethStreet_Sydney,MIR,,Extérieur,Réaliste,,,,Direct,Central,Logement,,MIR_3XN_ElizabethStreet_Sydney_Australie_1.jpg
1,3XN_ElizabethStreet_Sydney,MIR,,Intérieur,Réaliste,,,,Diffuse,,Logement,,MIR_3XN_ElizabethStreet_Sydney_Australie_2.jpg
2,3XN_ElizabethStreet_Sydney,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Vertical,Logement,,MIR_3XN_ElizabethStreet_Sydney_Australie_3.jpg
3,3XN_ElizabethStreet_Sydney,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Vertical,Logement,,MIR_3XN_ElizabethStreet_Sydney_Australie_4.jpg
4,3XN_Sydney_Fish_Market,MIR,,Extérieur,Réaliste,,Dégagé,Soir,Artificielle,Frontal,Public,,MIR_3xn_SydneyFishMarket_Australie_1.jpg
5,3XN_Sydney_Fish_Market,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Frontal,Public,,MIR_3xn_SydneyFishMarket_Australie_2.jpg
6,BIG_Watch Museum_AudemarsPiguet,MIR,,Extérieur,Réaliste,Hiver,Nuageux,Milieu journée,Artificielle,Drone,Culture,Suisse,MIR_Big_WatchMuseum_AudemarsPiguet_Suisse.jpg
7,Bofill_Landscape,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Central,Urbanisme,,MIR_Bofill_Landscape.jpg
8,Cobe_Tapeten Museum,MIR,,Intérieur,Réaliste,,,,Diffuse,Central,Culture,,MIR_Cobe_TapetenMuseum_Allemagne.jpg
9,Dorte Madrup_BabybnJar_Memorial,MIR,,Extérieur,Réaliste,Hiver,Dégagé,Milieu journée,Direct,,Public,,MIR_DorteMadrup_BabybnJar_Memorial_Ukraine_1.jpg
10,Dorte Madrup_BabybnJar_Memorial,MIR,,Extérieur,Réaliste,Hiver,Nuageux,Milieu journée,Diffuse,,Public,,MIR_DorteMadrup_BabybnJar_Memorial_Ukraine_2.jpg
11,Dorte Madrup_BabybnJar_Memorial,MIR,,Extérieur,Réaliste,Hiver,Nuageux,Milieu journée,Artificielle,,Public,,MIR_DorteMadrup_BabybnJar_Memorial_Ukraine_3.jpg
12,Dorte Mandrup_The Whale_Museum,MIR,,Extérieur,Réaliste,,Dégagé,Nuit,Spot,Frontal,Culture,,MIR_DorteMandrup_TheWhale_Norvege_1.jpg
13,Dorte Mandrup_The Whale_Museum,MIR,,Extérieur,Réaliste,Été,Pluvieux,Milieu journée,Diffuse,Drone,Culture,,MIR_DorteMandrup_TheWhale_Norvege_2.jpg
14,Dorte Mandrup_The Whale_Museum,MIR,,Extérieur,Réaliste,,Pluvieux,,Artificielle,,Culture,,MIR_DorteMandrup_TheWhale_Norvege_3.jpg
15,DRMA_Eggedal,MIR,,Extérieur,Réaliste,Automne,Nuageux,Matin,Spot,Central,Urbanisme,,MIR_DRMA_Eggedal_Norvege.jpg
16,Foster_MusicHall_Geneve,MIR,,Intérieur,Réaliste,,,,Artificielle,,Culture,Suisse,MIR_Foster_MusicHall_Geneva_Suisse.jpg
17,Kengo Kuma_Lisbon museum,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Central,Culture,,MIR_KengoKuma_Lisbonmuseum_Portugal_1.jpg
18,Kengo Kuma_Lisbon museum,MIR,,Extérieur,Réaliste,Été,Dégagé,,Direct,Frontal,Culture,,MIR_KengoKuma_Lisbonmuseum_Portugal_2.jpg
19,Modern Office_AttaboticsHQ,MIR,,Extérieur,Réaliste,Hiver,Nuageux,,,Central,Commercial,,MIR_ModernOffice_AttaboticsHQ_Canada_1.jpg
20,Modern Office_AttaboticsHQ,MIR,,Extérieur,Réaliste,Automne,Nuageux,Milieu journée,Spot,Central,Commercial,,MIR_ModernOffice_AttaboticsHQ_Canada_2.jpg
21,Modern Office_AttaboticsHQ,MIR,,Extérieur,Réaliste,Hiver,Nuageux,Milieu journée,Diffuse,Central,Commercial,,MIR_ModernOffice_AttaboticsHQ_Canada_3.jpg
22,NormannBelGeddes_Flying Restaurant,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Diffuse,Central,Commercial,,MIR_NormannBelGeddes_FlyingRestaurant_Aosta_Italie.jpg
23,Ooda_Miramar Housing Tower,MIR,,Extérieur,Réaliste,,,Nuit,Artificielle,Vertical,Logement,,MIR_Ooda_MiramarHousingTower_Portgual_1.jpg
24,Ooda_Miramar Housing Tower,MIR,,Extérieur,Réaliste,,,Matin,Artificielle,Drone,Logement,,MIR_Ooda_MiramarHousingTower_Portgual_2.jpg
25,Powerhouse_Tillburg University,MIR,,Extérieur,Réaliste,Automne,Nuageux,Milieu journée,Diffuse,Frontal,École,,MIR_Powerhouse_TillburgUniversity_PaysBas.jpg
26,Saunders_Carraig Ridge,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Central,Logement,,MIR_Saunders_CarraigRidge_Canada_1.jpg
27,Saunders_Carraig Ridge,MIR,,Extérieur,Réaliste,Hiver,Nuageux,Soir,Artificielle,,Logement,,MIR_Saunders_CarraigRidge_Canada_2.jpg
28,Saunders_Carraig Ridge,MIR,,Extérieur,Réaliste,Hiver,Dégagé,Milieu journée,Direct,Frontal,Logement,,MIR_Saunders_CarraigRidge_Canada_3.jpg
29,Saunders_Carraig Ridge,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Vertical,Logement,,MIR_Saunders_CarraigRidge_Canada_4.jpg
30,Saunders_Carraig Ridge,MIR,,Extérieur,Réaliste,,Dégagé,Soir,Artificielle,,Logement,,MIR_Saunders_CarraigRidge_Canada_5.jpg
31,Saunders_Carraig Ridge,MIR,,Extérieur,Réaliste,,Dégagé,Milieu journée,Direct,Central,Logement,,MIR_Saunders_CarraigRidge_Canada_6.jpg
32,Saunders_Carraig Ridge,MIR,,Extérieur,Réaliste,,Dégagé,Milieu journée,Direct,Vertical,Logement,,MIR_Saunders_CarraigRidge_Canada_7.jpg
33,Snohetta_A house to die in,MIR,,Extérieur,Réaliste,Hiver,Nuageux,Soir,Artificielle,Central,Logement,,MIR_Snohetta_BjarneMelgaard_Norvege_1.jpg
34,Snohetta_A house to die in,MIR,,Extérieur,Réaliste,,Dégagé,Milieu journée,Direct,Frontal,Logement,,MIR_Snohetta_BjarneMelgaard_Norvege_2.jpg
35,Snohetta_m20_Museum_Berlin,MIR,,Intérieur,Réaliste,,,,Diffuse,,Culture,,MIR_Snohetta_m20_Museum_Berlin_Allemagne.jpg
36,Snohetta_Shanghai Opera,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Drone,Culture,,MIR_Snohetta_ShanghaiOpera_Chine_1.jpg
37,Snohetta_Shanghai Opera,MIR,,Intérieur,Réaliste,,,,Artificielle,,Culture,,MIR_Snohetta_ShanghaiOpera_Chine_2.jpg
38,Snohetta_Shanghai Opera,MIR,,Extérieur,Réaliste,,Nuageux,Matin,Diffuse,,Culture,,MIR_Snohetta_ShanghaiOpera_Chine_3.jpg
39,Tzed_Koa Canvas Hotel,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,,Commercial,,MIR_TZed_KoaCanvasHotel_Dubai.jpg
40,Zaha Hadid_Cyprus Museum,MIR,,Extérieur,Réaliste,,Nuageux,Soir,Direct,Central,Culture,,MIR_Zahahadid_CyprusMuseum_Grece_1.jpg
41,Zaha Hadid_Cyprus Museum,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Frontal,Culture,,MIR_Zahahadid_CyprusMuseum_Grece_2.jpg
42,Zaha Hadid_Cyprus Museum,MIR,,Extérieur,Réaliste,,Nuageux,Milieu journée,Diffuse,Central,Culture,,MIR_Zahahadid_CyprusMuseum_Grece_3.jpg
43,Zaha Hadid_New Danube Bridge,MIR,,Extérieur,Réaliste,Automne,Nuageux,,Diffuse,,Urbanisme,,MIR_ZahaHadid_NewDanubeBridge_Hongrie_1.jpg
44,Zaha Hadid_New Danube Bridge,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Diffuse,,Urbanisme,,MIR_ZahaHadid_NewDanubeBridge_Hongrie_2.jpg
45,Zig Zag_Olympic Swimming Pool,MIR,,Extérieur,Réaliste,Hiver,,Nuit,Artificielle,,Public,,MIR_ZigZagArchitecture_OlympicSwminnigPoo_Llille_France_1.jpg
46,Zig Zag_Olympic Swimming Pool,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,,Public,,MIR_ZigZagArchitecture_OlympicSwminnigPoo_Llille_France_2.jpg
47,Powerhouse Company_Dordrecht Bridge,MIR,,Extérieur,Réaliste,,Nuageux,Soir,Spot,Central,Urbanisme,,MIR_PowerhouseCompany_DordrechtBridge_PaysBas.jpg
48,Coldefy_Gallieni_Paris,MIR,,Extérieur,Réaliste,,Nuageux,Matin,Spot,,Commercial,,MIR_Coldefy_Gallieni_Paris_1.jpg
49,Coldefy_Gallieni_Paris,MIR,,Extérieur,Réaliste,,Nuageux,,Diffuse,,Commercial,,MIR_Coldefy_Gallieni_Paris_2.jpg
50,Coldefy_Gallieni_Paris,MIR,,Extérieur,Réaliste,,Nuageux,Soir,Artificielle,,Commercial,,MIR_Coldefy_Gallieni_Paris_3.jpg
51,Coldefy_Gallieni_Paris,MIR,,Extérieur,Réaliste,,Dégagé,Soir,Artificielle,Frontal,Commercial,,MIR_Coldefy_Gallieni_Paris_4.jpg
52,Kyriakos Tsolakis_Star Observatory,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,,Culture,,MIR_KyriakosTsolakis_StarObservatory_Chypre.jpg
53,Jensen Skodvin_Sotograde Seven Villa,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Diffuse,Central,Logement,,MIR_JensenSkodvin_SotogradeSevenVilla_Spain.jpg
54,Atelier Tom Sheehan_Deloitte Campus,MIR,,Extérieur,Réaliste,Hiver,Nuageux,Milieu journée,Diffuse,Frontal,École,,MIR_AtelierTomSheehan_DeloitteCampus_1.jpg
55,Atelier Tom Sheehan_Deloitte Campus,MIR,,Intérieur,Réaliste,,,Milieu journée,Diffuse,,École,,MIR_AtelierTomSheehan_DeloitteCampus_2.jpg
56,Atelier Tom Sheehan_Deloitte Campus,MIR,,Extérieur,Réaliste,Hiver,Dégagé,Nuit,Artificielle,Frontal,École,,MIR_AtelierTomSheehan_DeloitteCampus_3.jpg
57,Sou Fujimoto_Coldefy_Lille Courthouse,MIR,,Extérieur,Réaliste,Automne,Nuageux,Milieu journée,Spot,Drone,Public,,MIR_SouFujimoto_Coldefy_LilleCourthouse_France_1.jpg
58,Sou Fujimoto_Coldefy_Lille Courthouse,MIR,,Extérieur,Réaliste,,Nuageux,Milieu journée,Diffuse,Frontal,Public,,MIR_SouFujimoto_Coldefy_LilleCourthouse_France_2.jpg
59,Sou Fujimoto_Coldefy_Lille Courthouse,MIR,,Extérieur,Réaliste,Automne,Nuageux,Milieu journée,Diffuse,Frontal,Public,,MIR_SouFujimoto_Coldefy_LilleCourthouse_France_3.jpg
60,Sou Fujimoto_Coldefy_Lille Courthouse,MIR,,Extérieur,Réaliste,Printemps,Dégagé,Milieu journée,Diffuse,,Public,,MIR_SouFujimoto_Coldefy_LilleCourthouse_France_4.jpg
61,Confidentiel_Celinny,MIR,,Intérieur,Réaliste,,,,Spot,Central,Culture,,MIR_Confidentiel_Celinny.jpg
62,3XN_Trelleborg_Viking Museum,MIR,,Extérieur,Réaliste,Été,Nuageux,,Diffuse,Frontal,Culture,,MIR_3XN_Trelleborg_VikingMuseum_Danemark_1.jpg
63,3XN_Trelleborg_Viking Museum,MIR,,Extérieur,Réaliste,Été,Nuageux,,Spot,Drone,Culture,,MIR_3XN_Trelleborg_VikingMuseum_Danemark_2.jpg
64,KPF_Roya lAtlantis Residence_Dubai,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Drone,Logement,,MIR_KPF_RoyalAtlantisResidence_Dubai.jpg
65,Snohetta_Rindalshytter,MIR,,Extérieur,Réaliste,Automne,Dégagé,Milieu journée,Direct,Central,Logement,,MIR_Snohetta_Rindalshytter_1.jpg
66,Snohetta_Rindalshytter,MIR,,Extérieur,Réaliste,Printemps,Dégagé,Milieu journée,Direct,,Logement,,MIR_Snohetta_Rindalshytter_2.jpg
67,Zaha Hadid_Leeza Tower_Pekin,MIR,,Intérieur,Réaliste,,,,Direct,Vertical,Commercial,,MIR_ZahaHadid_LeezaTower_Pekin.jpg
68,Reiulf Ramstad_Apartments_Oslo,MIR,,Intérieur,Réaliste,,,,Artificielle,Vertical,Logement,,MIR_ReiulfRamstad_Apartments_Oslo.jpg
69,Asif Khan_Guggenheim_Helsinki,MIR,,Intérieur,Réaliste,,,,Diffuse,Central,Culture,,MIR_AsifKhan_Guggenheim_Helsinki_1.jpg
70,Asif Khan_Guggenheim_Helsinki,MIR,,Extérieur,Réaliste,,Nuageux,Soir,Spot,Frontal,Culture,,MIR_AsifKhan_Guggenheim_Helsinki_2.jpg
71,Asif Khan_Guggenheim_Helsinki,MIR,,Intérieur,Réaliste,,,,Artificielle,,Culture,,MIR_AsifKhan_Guggenheim_Helsinki_3.jpg
72,Asif Khan_Guggenheim_Helsinki,MIR,,Intérieur,Réaliste,,,,Diffuse,Central,Culture,,MIR_AsifKhan_Guggenheim_Helsinki_4.jpg
73,Oaoa_Aqaba Golf Resort_Jordanie,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,,Commercial,,MIR_Oaoa_AqabaGolfResort_Jordanie.jpg
74,Jensen Skodvin_Vals Therme_Hotel_Rest,MIR,,Intérieur,Réaliste,Hiver,Nuageux,Milieu journée,Artificielle,,Commercial,,MIR_JensenSkodvin_ValsTherme_Hotel_Restaurant.jpg
75,Asif Khan_Astana_UK_Pavillion,MIR,,Intérieur,Réaliste,,,,Artificielle,Central,Culture,,MIR_AsifKhan_Astana_UK_Pavillion_1.jpg
76,Asif Khan_Astana_UK_Pavillion,MIR,,Intérieur,Réaliste,,,,Artificielle,Central,Culture,,MIR_AsifKhan_Astana_UK_Pavillion_2.jpg
77,Friends Of Brooklyn_BrooklynQueensConnector,MIR,,Extérieur,Réaliste,,Pluvieux,Milieu journée,Diffuse,,Urbanisme,,MIR_FriendsOfBrooklyn_BrooklynQueensConnectorTram_1.jpg
78,Friends Of Brooklyn_BrooklynQueensConnector,MIR,,Extérieur,Réaliste,,Pluvieux,Soir,Artificielle,,Urbanisme,,MIR_FriendsOfBrooklyn_BrooklynQueensConnectorTram_2.jpg
79,Heatherwick Studio_Coal Drops Yard_London,MIR,,Extérieur,Réaliste,,Pluvieux,Soir,Artificielle,,Culture,,MIR_HeatherwickStudio_CoalDropsYard_London_1.jpg
80,Heatherwick Studio_Coal Drops Yard_London,MIR,,Intérieur,Réaliste,,,,Direct,Central,Culture,,MIR_HeatherwickStudio_CoalDropsYard_London_2.jpg
81,Dorte Mandrup_Icefjord Center_Groenland,MIR,,Extérieur,Réaliste,Hiver,Dégagé,Milieu journée,Direct,Drone,Culture,,MIR_DorteMandrup_IcefjordCenter_Groenland_1.jpg
82,Dorte Mandrup_Icefjord Center_Groenland,MIR,,Extérieur,Réaliste,Hiver,Dégagé,Soir,Artificielle,,Culture,,MIR_DorteMandrup_IcefjordCenter_Groenland_2.jpg
83,Dorte Mandrup_Icefjord Center_Groenland,MIR,,Extérieur,Réaliste,Hiver,Dégagé,Milieu journée,Diffuse,Frontal,Culture,,MIR_DorteMandrup_IcefjordCenter_Groenland_3.jpg
84,Dorte Mandrup_Icefjord Center_Groenland,MIR,,Extérieur,Réaliste,Hiver,Dégagé,Milieu journée,Direct,Frontal,Culture,,MIR_DorteMandrup_IcefjordCenter_Groenland_4.jpg
85,Dorte Mandrup_Seaworld_Danemark,MIR,,Extérieur,Réaliste,Été,Nuageux,Milieu journée,Diffuse,Frontal,Commercial,,MIR_DorteMandrup_Seaworld_Danemark.jpg
86,Snohetta_Grand Palais_Paris,MIR,,Intérieur,Réaliste,,,Milieu journée,Direct,Central,Culture,,MIR_Snohetta_GrandPalais_Paris.jpg
87,Olsen Kundig_Seattle Space Needle,MIR,,Extérieur,Réaliste,,,Milieu journée,Diffuse,,Commercial,,MIR_OlsenKundig_SeattleSpaceNeedle_1.jpg
88,Olsen Kundig_Seattle Space Needle,MIR,,Intérieur,Réaliste,,Dégagé,Milieu journée,Diffuse,,Commercial,,MIR_OlsenKundig_SeattleSpaceNeedle_2.jpg
89,Olsen Kundig_Seattle Space Needle,MIR,,Intérieur,Réaliste,,Dégagé,Milieu journée,Direct,,Commercial,,MIR_OlsenKundig_SeattleSpaceNeedle_3.jpg
90,Vesper_Brodsky_Residential_Moscow,MIR,,Extérieur,Réaliste,Hiver,Nuageux,Matin,Artificielle,Drone,Logement,,MIR_Vesper_Brodsky_Residential_Moscow.jpg
91,Vesper_Fairmont_Moscow,MIR,,Extérieur,Réaliste,,,Nuit,Artificielle,,Commercial,,MIR_Vesper_Fairmont_Moscow_1.jpg
92,Vesper_Fairmont_Moscow,MIR,,Extérieur,Réaliste,Automne,Nuageux,Milieu journée,Diffuse,Frontal,Commercial,,MIR_Vesper_Fairmont_Moscow_2.jpg
93,Vesper_Fairmont_Moscow,MIR,,Extérieur,Réaliste,Automne,Nuageux,Milieu journée,Diffuse,Central,Commercial,,MIR_Vesper_Fairmont_Moscow_3.jpg
94,Kengo Kuma_Koge Station_Danemark,MIR,,Extérieur,Réaliste,,Nuageux,Milieu journée,Diffuse,,Public,,MIR_KengoKuma_KogeStation_Danemark.jpg
95,Zaha Hadid_Miami Ferry Terminal_USA,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Frontal,Public,,MIR_ZahaHadid_MiamiFerryTerminal_USA.jpg
96,MVRDV_Ljburg_Residential_Pays Bas,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Drone,Logement,,MIR_MVRDV_Ljburg_PaysBas.jpg
97,Zaha Hadid_Danjiang Bridge_Taiwan,MIR,,Extérieur,Réaliste,Été,Dégagé,Matin,Spot,,Urbanisme,,MIR_ZahaHadid_DanjiangBridge_Taiwan_1.jpg
98,Zaha Hadid_Danjiang Bridge_Taiwan,MIR,,Extérieur,Réaliste,,Nuageux,Nuit,Spot,,Urbanisme,,MIR_ZahaHadid_DanjiangBridge_Taiwan_2.jpg
99,Zaha Hadid_Danjiang Bridge_Taiwan,MIR,,Extérieur,Réaliste,,Pluvieux,,Artificielle,,Urbanisme,,MIR_ZahaHadid_DanjiangBridge_Taiwan_3.jpg
100,Zaha Hadid_Danjiang Bridge_Taiwan,MIR,,Extérieur,Réaliste,,Dégagé,Matin,Diffuse,Frontal,Urbanisme,,MIR_ZahaHadid_DanjiangBridge_Taiwan_4.jpg
101,Asplan Viak_Voss Skule_Bergen,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,,École,,MIR_AsplanViak_VossSkule_Bergen_Norvege.jpg
102,Hassell Oma_Perth Museum_Australie,MIR,,Intérieur,Réaliste,,Dégagé,,Direct,,Culture,,MIR_HassellOma_PerthMuseum_Australie_1.jpg
103,Hassell Oma_Perth Museum_Australie,MIR,,Extérieur,Réaliste,,Dégagé,Soir,Spot,Central,Culture,,MIR_HassellOma_PerthMuseum_Australie_2.jpg
104,Kyriakos Tsolakis_Star Observatory_Chypre,MIR,,Extérieur,Réaliste,,Dégagé,Nuit,Direct,Central,Culture,,MIR_KyriakosTsolakis_StarObservatory_Chypre_2.jpg
105,Snohetta_Malmo Konserthus_Suede,MIR,,Intérieur,Réaliste,,,,Direct,Central,Culture,,MIR_Snohetta_MalmoKonserthus_Suede.jpg
106,Sou Fujimoto_Lille Courthouse_France,MIR,,Intérieur,Réaliste,,,,Artificielle,Central,Public,,MIR_SouFujimoto_LilleCourthouse_France.jpg
107,Powerhouse IND_Canakkale Antenna Tower,MIR,,Extérieur,Peinture,,Dégagé,,Direct,Drone,Public,,MIR_PowerhouseIND_CanakkaleAntennaTower_Turkey.jpg
108,Serie Architects_Vietnam,MIR,,Extérieur,Réaliste,,Dégagé,,Direct,Frontal,Logement,,MIR_SerieArchitects_Vietnam.jpg
109,Utopia_StEriksplan_Sunbubble_Scandinavie,MIR,,Extérieur,Illustration,Été,Dégagé,Milieu journée,Direct,,Public,,MIR_Utopia_StEriksplan_Sunbubble_Scandinavie.jpg
110,Snohetta_Mpluss_Museum_HongKong,MIR,,Extérieur,Peinture,,Pluvieux,,Spot,Central,Culture,,MIR_Snohetta_MPluss_Museum_HongKong_1.jpg
111,Snohetta_Mpluss_Museum_HongKong,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Diffuse,,Culture,,MIR_Snohetta_Mpluss_Museum_HongKong_2.jpg
112,Barozzi Veiga_St Malo Museum_France,MIR,,Extérieur,Réaliste,,Nuageux,,Diffuse,Central,Culture,,MIR_BarozziVeiga_StMaloMuseum_France.jpg
113,Code Arkitekter_Ulvenveien Apartments_Oslo,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Drone,Logement,,MIR_CodeArkitekter_UlvenveienApartments_Norvege.jpg
114,Oppenheim_Ayla_Golf Academy,MIR,,Extérieur,Réaliste,Été,Dégagé,Soir,Direct,,Commercial,,MIR_Oppenheim_Ayla_GolfAcademy.jpg
115,Skidmore Owings Merill_Poly636_China,MIR,,Extérieur,Réaliste,,,Milieu journée,Diffuse,Vertical,Commercial,,MIR_SkidmoreOwingsMerill_Poly636_China.jpg
116,Opaform_Reiret_Hotel,MIR,,Intérieur,Réaliste,,,Milieu journée,Direct,,Commercial,,MIR_Opaform_Reiret_Hotel.jpg
117,ZUS_Zus_Apartments_Utrecht,MIR,,Intérieur,Illustration,,,Milieu journée,Direct,Central,Logement,,MIR_ZUS_Zus_Apartments_Utrecht_1.jpg
118,ZUS_Zus_Apartments_Utrecht,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Drone,Logement,,MIR_ZUS_Zus_Apartments_Utrecht_2.jpg
119,MIR_Utopia_Iceland Trekking Cabin,MIR,,Extérieur,Illustration,,Pluvieux,Milieu journée,Artificielle,,Logement,,MIR_Utopia_IcelandTrekkingCabin.jpg
120,KengoKuma_Chartres_Museum_France,MIR,,Extérieur,Réaliste,,Nuageux,Milieu journée,Diffuse,,Culture,,MIR_KengoKuma_Chartres_Museum_France_1.jpg
121,KengoKuma_Chartres_Museum_France,MIR,,Extérieur,Réaliste,,Dégagé,Soir,Spot,,Culture,,MIR_KengoKuma_Chartres_Museum_France_2.jpg
122,Bofill_CampNou_SoccerClub_Barcelona,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Drone,Public,,MIR_Bofill_CampNou_SoccerClub_Barcelona.jpg
123,James Hamilton_Landmark Project,MIR,,Extérieur,Réaliste,,Nuageux,Milieu journée,Diffuse,Drone,Culture,,MIR_JamesHamilton_LandmarkProject.jpg
124,Snohetta_UnderwaterRestaurant_Norvege,MIR,,Extérieur,Réaliste,,Pluvieux,,Spot,Central,Commercial,,MIR_Snohetta_UnderwaterRestaurant_Norvege_1.jpg
125,Snohetta_UnderwaterRestaurant_Norvege,MIR,,Extérieur,Réaliste,,,,Artificielle,Central,Commercial,,MIR_Snohetta_UnderwaterRestaurant_Norvege_2.jpg
126,Luca Poian Forms_NationalConcertHall_Lithuania,Filippo Bolognese,,Extérieur,Réaliste,Hiver,Dégagé,Soir,Artificielle,Frontal,Culture,,FilippoBolognese_LucaPoianForms_NationalConcertHall_Vilnuius_Lithuania.jpg
127,LopesBrenna_Lattecaldo School_Breggia_Suisse,Filippo Bolognese,,Extérieur,Illustration,Automne,Dégagé,Milieu journée,Direct,Central,École,Suisse,FilippoBolognese_LopesBrenna_LattecaldoSchool_Breggia_Suisse.jpg
128,Kaan_Loil30_Office Building_Bruxelles,Filippo Bolognese,,Extérieur,Illustration,Printemps,Dégagé,Milieu journée,Direct,Central,Commercial,,FilippoBolognese_Kaan_Loil30_OfficeBuilding_Bruxelles.jpg
129,E2A_Huthmacher House_Berlin,Filippo Bolognese,,Extérieur,Illustration,Printemps,Dégagé,Milieu journée,Direct,Vertical,Logement,,FilippoBolognese_E2A_HuthmacherHouse_Berlin.jpg
130,EM2N_Theatre Ingolstadt_Allemangne,Filippo Bolognese,,Intérieur,Illustration,,Dégagé,Milieu journée,Direct,Central,Culture,,FilippoBolognese_EM2N_TheatreIngolstadt_Allemangne.jpg
131,Marchi_Woodhouse 2.0_NYC,Filippo Bolognese,,Extérieur,Illustration,Automne,Dégagé,Soir,Artificielle,Central,Logement,,FilippoBolognese_Marchi_Woodhouse2_0_NYC.jpg
132,Snohetta_Theatre Nanterre_France,Filippo Bolognese,,Extérieur,Illustration,Printemps,Dégagé,Soir,Direct,,Culture,,FilippoBolognese_Snohetta_TheatreNanterre_France.jpg
133,MillerMaranta_Grosspeter Office Building_Basel,Filippo Bolognese,,Intérieur,Illustration,,Dégagé,Matin,Direct,Central,Commercial,Suisse,FilippoBolognese_MillerMaranta_GrosspeterOfficeBuilding_Basel.jpg
134,E2A_ZHAWSchool Of Engineering_Winterthur,Filippo Bolognese,,Extérieur,Illustration,Automne,Dégagé,Matin,Direct,,École,Suisse,FilippoBolognese_E2A_ZHAWSchoolOfEngineering_Winterthur.jpg
135,Snohetta_Office Building_Luxemburg,Filippo Bolognese,,Extérieur,Illustration,,Dégagé,,Direct,Central,Commercial,,FilippoBolognese_Snohetta_OfficeBuilding_Luxemburg.jpg
136,William Matthews_Sevenoaks Nature Wellbeing Centre_Kent_UK,Filippo Bolognese,,Extérieur,Illustration,,Nuageux,Milieu journée,Diffuse,,Commercial,,FilippoBolognese_WilliamMatthews_SevenoaksNatureWellbeingCentre_Kent_UK.jpg
137,DurischNolli_Pontifical Swiss Guard Barrack_Housing_Vatican,Filippo Bolognese,,Intérieur,Illustration,,Dégagé,Milieu journée,Diffuse,Central,Logement,,FilippoBolognese_DurischNolli_PontificalSwissGuardBarrack_Housing_Vatican.jpg
138,Hosoya Schaefer_Blarer Reber_Aeroport_Engadin_Suisse,Filippo Bolognese,,Extérieur,Réaliste,Hiver,Dégagé,Milieu journée,Direct,Frontal,Public,Suisse,FilippoBolognese_HosoyaSchaefer_BlarerReber_Aeroport_Engadin_Suisse.jpg
139,Michele De Lucchi_Connective Bridge,Filippo Bolognese,,Extérieur,Illustration,,Dégagé,Milieu journée,Direct,Central,Urbanisme,,FilippoBolognese_MicheleDeLucchi_ConnectiveBridge.jpg
140,Degelo_Bemotion base_Bern,Filippo Bolognese,,Extérieur,Illustration,Automne,Dégagé,Soir,Artificielle,Frontal,Commercial,Suisse,FilippoBolognese_Degelo_BEmotionbase_Bern.jpg
141,Snohetta_Office Building_Hamburg,Filippo Bolognese,,Extérieur,Illustration,Printemps,Dégagé,Milieu journée,Direct,,Commercial,,FilippoBolognese_Snohetta_OfficeBuilding_Hamburg.jpg
142,Miller Maranta_Heuwaage Skycraper_Basel,Filippo Bolognese,,Extérieur,Illustration,Automne,Dégagé,Milieu journée,Diffuse,Vertical,Logement,Suisse,FilippoBolognese_MillerMaranta_HeuwaageSkycraper_Basel.jpg
143,FelegendreherOlfsKoechling_TBA Werkhof_Zurich,Filippo Bolognese,,Extérieur,Illustration,Hiver,Dégagé,Milieu journée,Diffuse,Frontal,Public,Suisse,FilippoBolognese_FelegendreherOlfsKoechling_TBAWerkhof_Buelach_Zurich.jpg
