id,Dénomination,Bureau,Année,Type,Styles,Saison,Météo,Journée,Lumière,Composition,Affectations,Pays,Nom de fichier (avec extension)
664,FHV_Boveresses_Lausanne,Nightnurse,2016,Intérieur,Réaliste,,,,Diffuse,Central,Logement,Suisse,Nightnurse_FHV_Boveresses_Lausanne_2016_01.jpg
665,FHV_Boveresses_Lausanne,Nightnurse,2016,Intérieur,Réaliste,,,,Diffuse,Central,Logement,Suisse,Nightnurse_FHV_Boveresses_Lausanne_2016_02.jpg
666,FHV_Lycee_Sion,Nightnurse,2019,Extérieur,Illustration,Été,Dégagé,Matin,Direct,,École,Suisse,Nightnurse_FHV_Lycee_Sion_2019_01.jpg
667,FHV_Lycee_Sion,Nightnurse,2019,Extérieur,Illustration,Été,Dégagé,Matin,Direct,,École,Suisse,Nightnurse_FHV_Lycee_Sion_2019_02.jpg
668,Fischer_Allmendboden_Kussnacht_Zurich,Nightnurse,2018,Extérieur,Illustration,Printemps,Dégagé,Matin,Direct,,Logement,Suisse,Nightnurse_Fischer_Allmendboden_Kussnacht_Zurich_2018_01.jpg
669,Fischer_Allmendboden_Kussnacht_Zurich,Nightnurse,2018,Intérieur,Illustration,,,Matin,Direct,,Logement,Suisse,Nightnurse_Fischer_Allmendboden_Kussnacht_Zurich_2018_02.jpg
670,Frei Saarinen_HQ_Swica_Winterthur,Nightnurse,2019,Extérieur,Illustration,Été,Dégagé,Milieu journée,Direct,,Commercial,Suisse,Nightnurse_FreiSaarinen__HQ_Swica_Winterthur_2019.jpg
671,Gaeumann Luedi von der Ropp_Wohngruppen_Vivala_Weinfelden,Nightnurse,2018,Extérieur,Illustration,Printemps,Dégagé,,Direct,,Logement,Suisse,Nightnurse_GaeumannLuedivonderRopp_Wohngruppen_Vivala_Weinfelden_2018_01.jpg
672,Gaeumann Luedi von der Ropp_Wohngruppen_Vivala_Weinfelden,Nightnurse,2018,Extérieur,Illustration,Printemps,Dégagé,,Direct,,Logement,Suisse,Nightnurse_GaeumannLuedivonderRopp_Wohngruppen_Vivala_Weinfelden_2018_02.jpg
673,Gaeumann Luedi von der Ropp_Wohngruppen_Vivala_Weinfelden,Nightnurse,2018,Intérieur,Illustration,,,,Diffuse,,Logement,Suisse,Nightnurse_GaeumannLuedivonderRopp_Wohngruppen_Vivala_Weinfelden_2018_03.jpg
674,Galli Rudolf_Chamerstrasse_Zug,Nightnurse,2019,Extérieur,Illustration,Été,Pluvieux,,Direct,Frontal,Logement,Suisse,Nightnurse_GalliRudolf_Chamerstrasse_Zug_2019_01.jpg
675,Galli Rudolf_Chamerstrasse_Zug,Nightnurse,2019,Intérieur,Illustration,,Dégagé,Soir,Direct,,Logement,Suisse,Nightnurse_GalliRudolf_Chamerstrasse_Zug_2019_02.jpg
676,Galli Rudolf_Papieri Areal_Cham,Nightnurse,2019,Intérieur,Réaliste,,Dégagé,Milieu journée,Direct,,Logement,Suisse,Nightnurse_GalliRudolf_PapieriAreal_Cham_2019.jpg
677,Gigon Guyer_EMS_Langgruet_Zurich,Nightnurse,2019,Extérieur,Illustration,Printemps,Dégagé,Milieu journée,Diffuse,,Logement,Suisse,Nightnurse_GigonGuyer_EMS_Langgruet_Zuerich_2019_01.jpg
678,Gigon Guyer_EMS_Langgruet_Zurich,Nightnurse,2019,Extérieur,Illustration,Printemps,Dégagé,Milieu journée,Direct,,Logement,Suisse,Nightnurse_GigonGuyer_EMS_Langgruet_Zuerich_2019_02.jpg
679,Gigon Guyer_KochAreal_Teilperimeter_B_Zurich,Nightnurse,2018,Extérieur,Illustration,Été,Dégagé,,Diffuse,,Logement,Suisse,Nightnurse_GigonGuyer_KochAreal_Teilperimeter_B_Zurich_2018_01.jpg
680,Gigon Guyer_KochAreal_Teilperimeter_B_Zurich,Nightnurse,2018,Extérieur,Illustration,Été,Dégagé,,Diffuse,,Logement,Suisse,Nightnurse_GigonGuyer_KochAreal_Teilperimeter_B_Zurich_2018_02.jpg
681,Gigon Guyer_KochAreal_Teilperimeter_B_Zurich,Nightnurse,2018,Intérieur,Illustration,,Dégagé,Matin,Direct,,Logement,Suisse,Nightnurse_GigonGuyer_KochAreal_Teilperimeter_B_Zurich_2018_03.jpg
682,Gigon Guyer_KochAreal_Teilperimeter_B_Zurich,Nightnurse,2018,Intérieur,Illustration,,Dégagé,,Diffuse,,Logement,Suisse,Nightnurse_GigonGuyer_KochAreal_Teilperimeter_B_Zurich_2018_04.jpg
683,Giuliani Honger_Pflegeheim_Du_Lac_St_Moritz,Nightnurse,2018,Intérieur,Illustration,,,,Diffuse,,EMS,Suisse,Nightnurse_GiulianiHonger_Pflegeheim_Du_Lac_St_Moritz_2018_01.jpg
684,Giuliani Honger_Pflegeheim_Du_Lac_St_Moritz,Nightnurse,2018,Intérieur,Illustration,,,,Diffuse,,EMS,Suisse,Nightnurse_GiulianiHonger_Pflegeheim_Du_Lac_St_Moritz_2018_02.jpg
685,Giuliani Honger_Pflegeheim_Du_Lac_St_Moritz,Nightnurse,2018,Extérieur,Illustration,Printemps,Dégagé,Milieu journée,Diffuse,,EMS,Suisse,Nightnurse_GiulianiHonger_Pflegeheim_Du_Lac_St_Moritz_2018_03.jpg
686,Giuliani Honger_Schlotter Areal_Zurich,Nightnurse,2016,Extérieur,Illustration,Automne,Dégagé,Nuit,Artificielle,Central,Logement,Suisse,Nightnurse_GiulianiHonger_SchlotterAreal_Zurich_2016_01.jpg
687,Giuliani Honger_Schlotter Areal_Zurich,Nightnurse,2016,Extérieur,Illustration,Automne,Dégagé,Nuit,Artificielle,Central,Logement,Suisse,Nightnurse_GiulianiHonger_SchlotterAreal_Zurich_2016_02.jpg
688,Giuliani Honger_Schlotter Areal_Zurich,Nightnurse,2016,Intérieur,Réaliste,,,,Direct,,Logement,Suisse,Nightnurse_GiulianiHonger_SchlotterAreal_Zurich_2016_03.jpg
689,Giuliani Honger_Schlotter Areal_Zurich,Nightnurse,2016,Intérieur,Réaliste,,,,Direct,,Logement,Suisse,Nightnurse_GiulianiHonger_SchlotterAreal_Zurich_2016_04.jpg
690,Giuliani Honger_Schlotter Areal_Zurich,Nightnurse,2016,Intérieur,Réaliste,,,,Direct,,Logement,Suisse,Nightnurse_GiulianiHonger_SchlotterAreal_Zurich_2016_05.jpg
691,Giuliani Honger_Schlotter Areal_Zurich,Nightnurse,2016,Intérieur,Réaliste,,,,Direct,,Logement,Suisse,Nightnurse_GiulianiHonger_SchlotterAreal_Zurich_2016_06.jpg
692,Giuliani Honger_Schlotter Areal_Zurich,Nightnurse,2016,Intérieur,Illustration,,,,Direct,,Commercial,Suisse,Nightnurse_GiulianiHonger_SchlotterAreal_Zurich_2016_07.jpg
693,Giuliani Honger_Schlotter Areal_Zurich,Nightnurse,2016,Intérieur,Illustration,,,,Diffuse,,Commercial,Suisse,Nightnurse_GiulianiHonger_SchlotterAreal_Zurich_2016_08.jpg
694,Giuliani Honger_Schlotter Areal_Zurich,Nightnurse,2016,Intérieur,Illustration,,,,Direct,,Commercial,Suisse,Nightnurse_GiulianiHonger_SchlotterAreal_Zurich_2016_09.jpg
695,Graber Pulver_Wohnsiedlung Hardau_Zurich,Nightnurse,2019,Intérieur,Illustration,Été,Dégagé,Matin,Direct,,,Suisse,Nightnurse_GraberPulver_WohnsiedlungHardau_Zurich_2019_01.jpg
696,Graber Pulver_Wohnsiedlung Hardau_Zurich,Nightnurse,2019,Extérieur,Illustration,Été,Dégagé,Milieu journée,Direct,Frontal,Logement,Suisse,Nightnurse_GraberPulver_WohnsiedlungHardau_Zurich_2019_02.jpg
697,Gut Schoep_Berufsfachschule_Winterthur,Nightnurse,2019,Intérieur,Illustration,,,,Direct,,École,Suisse,Nightnurse_GutSchoep_Berufsfachschule_Winterthur_2019.jpg
698,HIAG_Hochparterre Heft_Projekt Papieri_Biberist,Nightnurse,2017,Intérieur,Illustration,,,,Direct,,Commercial,Suisse,Nightnurse_HIAG_HochparterreHeft_ProjektPapieri_Biberist_2017.jpg
699,Hochparterre_Rosengarten Tunnels,Nightnurse,2019,Extérieur,Illustration,,Pluvieux,Soir,Diffuse,,Urbanisme,Suisse,Nightnurse_Hochparterre_RosengartenTunnels_2019.jpg
700,Horisberger Wagen_Buehlhalden_Oberrieden,Nightnurse,2016,Extérieur,Illustration,Automne,Dégagé,Milieu journée,Direct,,Logement,Suisse,Nightnurse_HorisbergerWagen_Buehlhalden_Oberrieden_2016_01.jpg
701,Horisberger Wagen_Buehlhalden_Oberrieden,Nightnurse,2016,Extérieur,Illustration,Automne,Dégagé,Milieu journée,Direct,,Logement,Suisse,Nightnurse_HorisbergerWagen_Buehlhalden_Oberrieden_2016_02.jpg
702,Horisberger Wagen_Instandsetzung Konvikt_Chur,Nightnurse,2016,Intérieur,Illustration,,,,Diffuse,,Public,Suisse,Nightnurse_HorisbergerWagen_InstandsetzungKonvikt_Chur_2016_01.jpg
